source_id,mass,radial_velocity,teff,logg,spectral_type,mag_g,mag_bp,mag_rp,age,radius
1985128090434535559,0.932,-36.53559,6109.4204,4.253,F8V,20.089075,20.508081,19.473228,10.0,1.1930299
1985128090434535566,0.743,-77.1517,6053.4087,4.528,F8V,19.753056,20.16059,19.145416,14.0,0.7774121
1985128090434535575,0.807,-104.719666,6367.955,4.18,F4IV,19.295454,19.686968,18.704903,14.0,1.2040688
1985128090434535578,0.975,-214.55656,5754.3994,4.364,G2V,19.156008,19.654675,18.471964,10.0,1.0584036
1985128090434535579,0.819,4.248589,5058.2466,4.554,K1.5V,20.425789,21.00183,19.67627,10.0,0.7810005
1985128090434535580,0.837,-42.70853,5140.4365,4.538,K0V,20.408333,20.958368,19.677704,10.0,0.80288124
1985128090434535585,1.084,-34.30346,5767.6646,4.029,F8IV,18.7938,19.269308,18.129763,10.0,1.6468396
1985128090434535586,0.869,24.70436,5296.6343,4.51,G8V,20.656422,21.211926,19.922764,10.0,0.84460044
1985128090434535595,0.913,-46.749924,5508.077,4.461,G5V,20.378796,20.886679,19.685404,10.0,0.91759557
1985128090434535598,1.088,106.05793,5714.786,3.998,F9IV,18.97609,19.463999,18.300285,10.0,1.708643
1985128090434535601,0.938,-157.10321,5610.48,4.426,G3V,20.311619,20.853315,19.589293,10.0,0.9652756
1985128090434535602,0.875,76.546394,5333.349,4.504,G7V,20.834785,21.400408,20.091864,10.0,0.85241544
1985128090434535605,0.938,-96.82293,5610.48,4.426,G3V,20.327719,20.843904,19.625437,10.0,0.9652756
1985128090434535607,1.008,-39.25507,5834.451,4.299,G1V,19.722954,20.1833,19.070536,10.0,1.1605165
1985128090434535609,0.869,-21.563227,5296.6343,4.51,G8V,20.947014,21.532404,20.190422,10.0,0.84460044
1985128090434535610,0.962,-161.44272,5701.6426,4.386,G2.5V,20.136961,20.61984,19.467773,10.0,1.0295591
1985128090434535611,1.07,8.529082,5847.901,4.105,F8IV,19.225512,19.694723,18.564249,10.0,1.4950348
1985128090434535613,0.962,-244.68703,5701.6426,4.386,G2.5V,20.293001,20.790714,19.606707,10.0,1.0295591
1985128090434535618,0.919,-62.511494,5533.501,4.453,G4V,20.724089,21.256071,20.010355,10.0,0.9303606
1985128090434535622,0.708,-26.554108,5321.0825,4.644,G7V,20.12684,20.660387,19.40916,12.0,0.66473925
1985128090434535625,0.858,-162.78566,6151.7686,4.307,F8V,18.849306,19.221457,18.28294,12.0,1.0780808
1985128090434535629,0.708,-121.385635,5321.0825,4.644,G7V,20.953701,21.49069,20.230585,12.0,0.66473925
