Step,Universe_W,Star_9.445897908837262e+17_TimePerceived,Star_9.427221329459534e+17_TimePerceived,Star_9.445898209478259e+17_TimePerceived,Star_2.041304982640783e+18_TimePerceived,Star_9.434836435312623e+17_TimePerceived,Star_9.43483647827419e+17_TimePerceived,Star_9.434836778910016e+17_TimePerceived,Star_2.0413050170005233e+18_TimePerceived,Star_2.0408476888823956e+18_TimePerceived,Star_2.0403568943804288e+18_TimePerceived,Star_5.931954537111937e+18_TimePerceived,Star_9.434836778910071e+17_TimePerceived,Star_4.1619149859307254e+18_TimePerceived,Star_4.0765605167712635e+18_TimePerceived,Star_4.076560516771264e+18_TimePerceived,Star_4.0765605167712655e+18_TimePerceived,Star_4.076560546777696e+18_TimePerceived,Star_4.076560546777713e+18_TimePerceived,Star_4.0764712501123804e+18_TimePerceived,Star_9.42722197369509e+17_TimePerceived,Star_9.42722201665432e+17_TimePerceived,Star_9.427222360251636e+17_TimePerceived,Star_4.16212997049178e+18_TimePerceived,Star_4.1618340343823575e+18_TimePerceived,Star_2.040847723242148e+18_TimePerceived,Star_2.040847723242156e+18_TimePerceived,Star_2.0408477876639347e+18_TimePerceived,Star_9.445901344810991e+17_TimePerceived,Star_9.445901688408457e+17_TimePerceived,Star_9.445902676244347e+17_TimePerceived,Star_9.445903062797924e+17_TimePerceived,Star_2.040356928740178e+18_TimePerceived,Star_2.040356928742421e+18_TimePerceived,Star_2.0403569931568527e+18_TimePerceived,Star_4.1617575152423373e+18_TimePerceived,Star_4.1617575152423404e+18_TimePerceived,Star_5.931954537196422e+18_TimePerceived,Star_5.931954567174296e+18_TimePerceived,Star_2.0410755970271713e+18_TimePerceived,Star_2.0410756657466086e+18_TimePerceived,Star_5.931920899014812e+18_TimePerceived,Star_5.931920899014819e+18_TimePerceived,Star_4.1619771083403715e+18_TimePerceived,Star_4.1619771383812495e+18_TimePerceived,Star_4.161977138381264e+18_TimePerceived,Star_4.16197713838198e+18_TimePerceived,Star_2.0406120497957757e+18_TimePerceived,Star_2.0406120798549046e+18_TimePerceived,Star_2.0406120841555108e+18_TimePerceived,Star_9.410187446203845e+17_TimePerceived
11,0.21999999999999997,4.051,3.6013,8.2653,8.3633,4.122,15.81,19.7917,18.6972,2.2818,17.5256,7.032,33.4573,4.1352,9.5138,7.5099,3.1539,17.0333,15.9993,4.7926,7.1263,1.0357,2.2067,13.8746,6.6103,3.8129,4.1395,18.5344,6.1037,3.0193,43.1383,2.8486,2.6654,0.773,12.573,1.0614,9.5305,2.9838,9.6872,16.0604,5.7327,11.5579,14.2658,1.1351,4.5528,2.0322,3.324,9.5573,4.2601,10.6169,61.0667
12,0.23999999999999996,4.4193,3.9287,9.0167,9.1237,4.4967,17.2472,21.5909,20.397,2.4892,19.1189,7.6713,36.4989,4.5112,10.3787,8.1926,3.4406,18.5818,17.4538,5.2283,7.7741,1.1298,2.4073,15.1359,7.2113,4.1595,4.5158,20.2193,6.6586,3.2938,47.06,3.1076,2.9078,0.8433,13.7161,1.1579,10.3969,3.2551,10.5679,17.5204,6.2538,12.6086,15.5627,1.2383,4.9667,2.217,3.6262,10.4261,4.6474,11.5821,66.6182
13,0.25999999999999995,4.7876,4.2561,9.7681,9.884,4.8714,18.6845,23.3902,22.0967,2.6966,20.7121,8.3105,39.5405,4.8871,11.2436,8.8753,3.7273,20.1303,18.9083,5.664,8.422,1.224,2.6079,16.3972,7.8122,4.5061,4.8921,21.9042,7.2135,3.5683,50.9817,3.3665,3.1501,0.9136,14.8591,1.2544,11.2633,3.5263,11.4485,18.9804,6.775,13.6593,16.8596,1.3415,5.3805,2.4017,3.9284,11.2949,5.0346,12.5472,72.1697
14,0.27999999999999997,5.1559,4.5835,10.5195,10.6443,5.2461,20.1218,25.1894,23.7965,2.9041,22.3054,8.9498,42.5821,5.263,12.1085,9.5581,4.0141,21.6788,20.3628,6.0997,9.0698,1.3181,2.8085,17.6585,8.4131,4.8528,5.2684,23.5892,7.7683,3.8428,54.9033,3.6255,3.3924,0.9839,16.0021,1.3509,12.1297,3.7976,12.3292,20.4404,7.2962,14.71,18.1565,1.4447,5.7944,2.5865,4.2306,12.1638,5.4219,13.5124,77.7213
15,0.3,5.5241,4.9109,11.2708,11.4046,5.6209,21.559,26.9887,25.4962,3.1115,23.8986,9.5891,45.6237,5.639,12.9734,10.2408,4.3008,23.2273,21.8173,6.5354,9.7177,1.4123,3.0092,18.9199,9.0141,5.1994,5.6447,25.2741,8.3232,4.1172,58.825,3.8845,3.6347,1.0541,17.1451,1.4474,12.9961,4.0688,13.2099,21.9005,7.8173,15.7607,19.4534,1.5478,6.2083,2.7712,4.5328,13.0326,5.8092,14.4776,83.2728
16,0.32,5.8924,5.2383,12.0222,12.1649,5.9956,22.9963,28.7879,27.196,3.3189,25.4918,10.2284,48.6652,6.0149,13.8383,10.9235,4.5875,24.7757,23.2717,6.9711,10.3655,1.5064,3.2098,20.1812,9.615,5.546,6.0211,26.9591,8.8781,4.3917,62.7467,4.1434,3.877,1.1244,18.2881,1.5439,13.8625,4.3401,14.0905,23.3605,8.3385,16.8114,20.7503,1.651,6.6222,2.9559,4.8349,13.9015,6.1965,15.4428,88.8243
17,0.34,6.2607,5.5656,12.7736,12.9252,6.3703,24.4336,30.5872,28.8957,3.5264,27.0851,10.8676,51.7068,6.3908,14.7032,11.6062,4.8742,26.3242,24.7262,7.4068,11.0134,1.6006,3.4104,21.4425,10.216,5.8926,6.3974,28.644,9.433,4.6662,66.6683,4.4024,4.1193,1.1947,19.4311,1.6404,14.7289,4.6113,14.9712,24.8205,8.8596,17.8622,22.0472,1.7542,7.0361,3.1407,5.1371,14.7703,6.5838,16.4079,94.3758
18,0.36000000000000004,6.629,5.893,13.525,13.6855,6.745,25.8709,32.3864,30.5955,3.7338,28.6783,11.5069,54.7484,6.7668,15.5681,12.2889,5.1609,27.8727,26.1807,7.8425,11.6612,1.6947,3.611,22.7038,10.8169,6.2393,6.7737,30.3289,9.9879,4.9407,70.59,4.6614,4.3616,1.265,20.5741,1.7369,15.5953,4.8826,15.8518,26.2806,9.3808,18.9129,23.3441,1.8574,7.45,3.3254,5.4393,15.6392,6.9711,17.3731,99.9273
19,0.38000000000000006,6.9972,6.2204,14.2764,14.4458,7.1198,27.3081,34.1857,32.2952,3.9412,30.2716,12.1462,57.79,7.1427,16.433,12.9716,5.4477,29.4212,27.6352,8.2782,12.309,1.7889,3.8116,23.9652,11.4178,6.5859,7.15,32.0139,10.5428,5.2152,74.5117,4.9203,4.6039,1.3353,21.7171,1.8334,16.4617,5.1538,16.7325,27.7406,9.9019,19.9636,24.6409,1.9606,7.8639,3.5102,5.7415,16.508,7.3583,18.3383,105.4789
20,0.4000000000000001,7.3655,6.5478,15.0278,15.2061,7.4945,28.7454,35.9849,33.9949,4.1487,31.8648,12.7855,60.8315,7.5186,17.2979,13.6544,5.7344,30.9697,29.0897,8.7139,12.9569,1.883,4.0122,25.2265,12.0188,6.9325,7.5263,33.6988,11.0976,5.4897,78.4333,5.1793,4.8463,1.4055,22.8601,1.9299,17.3281,5.4251,17.6131,29.2006,10.4231,21.0143,25.9378,2.0638,8.2778,3.6949,6.0437,17.3768,7.7456,19.3035,111.0304
