source_id,mass,radial_velocity,eccentricity,inclination,logg,teff,r_env_r_star
2270247366088982536,2.427,8.330943,0.0,0.0,4.184,10115.795,2.0366774
1883347361921499137,2.209,22.244438,0.0,0.0,4.066,9015.711,3.3433022
1988778093229113353,6.767,128.92911,0.0,0.0,3.989,18836.49,3.544488
1731853914086572047,2.107,99.94458,0.0,0.0,4.166,9015.711,2.5128372
2026653910734733339,2.476,-75.92013,0.0,0.0,3.967,9440.608,4.4691772
1988828095238373420,2.583,-134.04393,0.0,0.0,3.839,9225.714,3.0300715
2026703912743993369,2.141,-85.90314,0.0,0.0,4.066,8810.488,2.4775286
2026753919182438421,2.314,-80.5126,0.0,0.0,4.165,9660.509,5.018639
1981928092838395928,3.489,-79.90763,0.0,0.0,3.802,11350.108,2.8397317
1731697362394415115,3.195,-117.43622,0.0,0.0,4.185,12161.86,5.4879093
1731697366823600161,2.995,94.42537,0.0,0.0,4.152,11857.6875,2.5929725
1731697366823600168,3.193,123.78874,0.0,0.0,4.023,11614.486,5.0133033
2249128097200734210,2.175,-126.13503,0.0,0.0,4.165,9225.714,6.472603
2249278094638579713,2.354,-110.97452,0.0,0.0,4.133,9660.509,3.4711666
2092947366737870851,2.175,68.6149,0.0,0.0,4.165,9225.714,4.4749904
1731747368832860196,2.008,61.708385,0.0,0.0,4.196,8810.488,3.3256156
1982078090544676875,3.397,-84.79903,0.31736323,-27.013792,4.009,12161.86,3.1837947
2027103916335824899,3.108,151.30373,0.9247452,-83.76262,4.14,11641.261,5.1779976
1997353914558578727,3.307,-114.017746,0.0,0.0,3.899,11350.108,2.4686625
1916403917286014977,4.181,135.389,0.17818348,44.32376,4.106,14288.939,1.245328
1997353918853545988,5.324,59.4398,0.0,0.0,4.029,16405.898,6.235954
1982853911693754395,2.138,-37.408993,0.0,0.0,4.196,9225.714,6.6207695
1997353918987763760,2.107,-98.02059,0.188901,33.42204,4.166,9015.711,2.064165
2100897368248418306,2.835,50.360588,0.0,0.0,3.893,10115.795,4.972072
1732103915542937622,2.844,143.13608,0.0,0.0,4.006,10592.537,6.1706924
1916603912572370949,3.465,79.09516,0.31986162,58.683254,4.044,12705.741,5.9747972
1982597360412262428,3.426,-174.86133,0.0,0.0,3.896,11614.486,4.280651
1982903917997981720,2.511,-130.24767,0.0,0.0,4.064,9885.531,5.489027
2104547360439795713,2.245,31.886534,0.0,0.0,4.164,9440.608,5.9182324
1982953915712274434,3.047,41.961365,0.0,0.0,4.168,11614.486,6.112388
1997347369028419597,2.474,-29.839056,0.0,0.0,4.154,10115.795,5.4518766
1997347369028419656,2.601,-114.883316,0.0,0.0,3.936,9660.509,2.6396708
2021278097738825739,3.252,-97.2317,0.0,0.0,4.037,11885.022,3.1155608
2021278097738825744,3.265,-127.886154,0.0,0.0,4.068,12133.889,2.809274
2269828099971481608,2.245,11.924385,0.0,0.0,4.098,9225.714,6.536587
1989328098151104598,2.468,-127.6135,0.0,0.0,4.033,9660.509,3.5664768
2027803918427226121,2.749,-43.47599,0.0,0.0,3.84,9660.509,6.570824
2027803918427226158,2.977,-140.42679,0.0,0.0,4.091,11350.108,6.16695
1765503913403875331,2.075,-11.58479,0.0,0.0,4.132,8810.488,2.5290134
1765503917698842628,2.566,-34.84069,0.0,0.0,4.145,10351.422,6.2078853
2027903913721593860,3.106,104.14747,0.0,0.0,4.183,11885.022,5.8567944
1983303916892192828,2.175,-117.174,0.0,0.0,4.099,9015.711,3.8269606
1742578099666550786,2.687,47.888832,0.48814934,18.266056,3.932,9885.531,6.3699875
2292528097481719813,2.602,21.597279,0.0,0.0,4.056,10115.795,3.5468667
1732097361422843917,2.511,23.162226,0.0,0.0,4.0,9660.509,3.0316546
1766403910781632515,2.141,-20.113829,0.0,0.0,4.066,8810.488,6.7660656
1983403916615745549,2.107,-100.364296,0.0,0.0,4.166,9015.711,6.6073084
1983403916615745562,2.694,-51.583885,0.0,0.0,3.871,9660.509,5.19949
2270128099276357644,3.046,116.03282,0.0,0.0,3.82,10351.422,2.1653054
1732147367727071236,3.988,-44.056015,0.0,0.0,4.051,13645.831,2.5716574
1914847365169152007,3.061,86.7489,0.0,0.0,4.156,12133.889,5.418297
2270847368859484163,2.468,10.330132,0.0,0.0,4.033,9660.509,1.7630528
1982747366440042512,3.931,-92.749466,0.0,0.0,3.826,12705.741,1.6928431
2166103913923608577,2.699,-16.91709,0.0,0.0,4.156,10839.27,5.3411083
2278003918245986314,2.852,77.37274,0.0,0.0,4.062,10839.27,1.3477126
2270953918408163373,2.645,126.30107,0.0,0.0,4.023,10115.795,4.2033095
2270953918676598794,2.637,-108.24422,0.28530884,-45.675877,4.141,9908.319,6.600324
1982847366163595270,3.834,-104.60546,0.0,0.0,3.839,12445.146,3.989713
2271003916122456110,3.113,127.34893,0.0,0.0,3.951,11091.748,6.5303817
2028403912473575436,3.104,-174.40623,0.0,0.0,3.844,10592.537,4.430413
1744028093376364559,2.468,27.320993,0.0,0.0,4.033,9660.509,5.4287515
1744028093510582283,5.379,-114.80542,0.9512521,52.669468,4.183,17179.084,4.367405
2026947368804417538,3.428,136.19083,0.0,0.0,4.171,12735.031,5.881019
1744028097537114149,2.472,73.562614,0.0,0.0,4.097,9885.531,4.711383
1982947361457963034,3.157,-139.98253,0.0,0.0,3.867,10839.27,4.157282
1909778092579094534,2.844,34.074905,0.0,0.0,4.006,10592.537,2.5954592
1909828098883321860,2.138,32.055626,0.0,0.0,4.196,9225.714,2.1858845
2027097366242263042,3.173,108.73031,0.0,0.0,4.112,11641.261,5.4473343
1917347366713688065,2.211,25.011127,0.0,0.0,4.132,9225.714,3.933435
1983653913777143811,2.566,-26.248783,0.0,0.0,4.145,10351.422,1.7542174
1769953916134359041,3.108,-168.62999,0.0,0.0,4.14,11641.261,4.030807
1731678091278811174,2.826,82.87673,0.15241301,-41.63105,4.196,11587.773,2.0814805
2294028093200793602,2.281,-142.76312,0.0,0.0,4.065,9225.714,2.9384222
2270947364153851931,3.331,132.88399,0.0,0.0,4.038,12133.889,6.855043
1911458339619864579,2.107,95.58532,0.0,0.0,4.166,9015.711,6.2948227
2270997366297329703,2.606,72.32006,0.0,0.0,4.166,10592.537,6.413672
2089778093190283265,2.893,33.775925,0.0,0.0,3.973,10592.537,4.1738553
2089828090904576003,2.688,28.625237,0.0,0.0,3.99,10115.795,4.7105117
1911278096888102916,2.008,43.157833,0.0,0.0,4.196,8810.488,5.0024886
2271503910445252645,2.699,89.47415,0.0,0.0,4.156,10839.27,3.6581025
2270328098723463196,2.472,-67.5571,0.0,0.0,4.097,9885.531,2.5037303
2271503914740219916,4.885,-83.5829,0.0,0.0,3.982,15310.875,6.3966074
1925347361911996419,2.205,50.4931,0.0,0.0,4.196,9440.608,1.3865856
1945653911452909569,2.175,16.23137,0.0,0.0,4.099,9015.711,4.1939397
2296278097852366849,2.401,-141.00754,0.0,0.0,3.968,9225.714,3.0170257
1765497367873716226,5.702,-230.70226,0.0,0.0,3.955,16788.041,6.705686
1765547365588008961,2.8,-8.335318,0.0,0.0,4.143,11091.748,5.7605796
1983347369076326414,2.008,-42.227356,0.0,0.0,4.196,8810.488,4.589792
2026678091400609793,3.602,164.2025,0.0,0.0,4.018,12445.146,1.6159878
2198503918978203652,2.245,-92.151405,0.0,0.0,4.098,9225.714,3.6950138
1731758333750149160,2.281,151.91888,0.0,0.0,4.065,9225.714,2.9286256
1983397367059054626,3.957,-114.06037,0.8757114,68.591896,3.842,12971.793,2.8340616
2026728097839054869,3.252,-93.841606,0.0,0.0,4.037,11885.022,5.1658845
1731758338045116423,3.932,-85.68177,0.0,0.0,4.085,13645.831,4.6875315
1733053910769205255,6.741,-48.991257,0.0,0.0,4.084,19275.25,1.9164981
2173597360544808961,3.187,-44.78125,0.0,0.0,4.067,11857.6875,4.4244614
1733103912778465294,2.39,-22.030895,0.0,0.0,4.161,9885.531,6.7932167
2027947366039945230,2.427,-72.70263,0.0,0.0,4.184,10115.795,4.654208
1766597364832796683,2.345,-16.23655,0.0,0.0,4.192,9885.531,5.304757
2026878095276900371,2.511,-44.708313,0.0,0.0,4.0,9660.509,1.9118665
1766697360261382154,2.858,-9.322,0.0,0.0,4.112,11091.748,3.497803
1766747362270642177,3.738,-219.22728,0.0,0.0,4.126,13335.214,6.142539
1731978090181034006,2.476,133.50395,0.0,0.0,3.967,9440.608,1.4290563
1732647366210617358,2.205,53.19837,0.0,0.0,4.196,9440.608,2.7633152
2176797364717617153,2.941,-6.056336,0.0,0.0,3.829,10115.795,5.298604
1947853918255972365,2.694,34.624138,0.0,0.0,3.871,9660.509,6.457378
1767347360880394242,3.089,-6.4816856,0.6928591,9.670429,4.029,11350.108,4.577911
1997408331660001308,3.285,-110.02694,0.0,0.0,3.855,11091.748,3.0813825
1767547364354031617,2.317,-6.6880164,0.0,0.0,4.098,9440.608,6.191711
1729397360162766892,2.008,22.063208,0.0,0.0,4.196,8810.488,5.324322
1732697368354095107,2.008,90.38397,0.0,0.0,4.196,8810.488,5.309677
1948053913408110609,2.655,15.341472,0.0,0.0,4.08,10351.422,4.6285386
1916378095674195969,2.736,16.05511,0.0,0.0,3.958,10115.795,2.931715
1982858335510069251,2.902,44.865288,0.0,0.0,4.164,11091.748,4.3448997
1729397368886919170,4.379,-15.156804,0.0,0.0,4.157,14962.356,1.4508829
2004247367401865218,2.427,0.18814377,0.50974137,56.237873,4.184,10115.795,2.0322874
1729397369155354626,4.526,-14.614552,0.5789238,79.28518,3.995,14621.771,4.295308
1729397369289572354,2.532,-10.547964,0.77774215,-55.32678,4.13,9484.185,4.485381
2027128092438298627,2.699,-58.674942,0.0,0.0,4.156,10839.27,6.891701
1772353917955342337,2.141,15.617957,0.0,0.0,4.066,8810.488,6.764806
2197847364507533314,2.657,-32.411545,0.0,0.0,4.136,10592.537,6.74055
1772453917813112847,2.487,23.126173,0.0,0.0,3.903,9225.714,1.797934
1732078094199554071,2.785,36.144936,0.0,0.0,3.925,10115.795,1.4171023
2027178098742525965,2.319,-61.81663,0.0,0.0,4.032,9225.714,3.0064547
2198397365000339457,2.141,-60.595016,0.0,0.0,4.066,8810.488,6.8159037
1769947366309232648,3.634,42.608143,0.0,0.0,3.935,12445.146,6.1082654
1729447362574680162,2.664,0.92592585,0.761165,63.627445,3.839,9440.608,4.7408814
1917758339249340420,3.307,106.874084,0.0,0.0,3.899,11350.108,4.6801257
1772653912831033345,4.727,-193.30281,0.0,0.0,4.145,15667.511,6.4768214
1772653917260218374,2.008,15.008249,0.0,0.0,4.196,8810.488,3.375159
2198897368047288321,4.657,-216.20305,0.0,0.0,3.874,14288.939,4.507522
1772703919269478401,2.175,5.446671,0.0,0.0,4.099,9015.711,1.3049326
1948853911196532738,3.156,4.7455344,0.0,0.0,4.146,12416.523,5.8618555
1729553911720706069,2.246,-0.3441624,0.0,0.0,4.034,9015.711,2.9375665
1770147361461370881,4.567,-174.54262,0.0,0.0,4.055,14962.356,6.3026686
1946197366549774349,2.696,79.41384,0.0,0.0,4.047,10351.422,2.5093813
1773153911583014921,2.511,-4.2372456,0.0,0.0,4.0,9660.509,4.293464
1732058337215774746,3.169,22.879189,0.0,0.0,3.919,11091.748,5.4753957
1732058337484210214,2.699,202.46632,0.0,80.57863,4.156,10839.27,6.811023
2032253916728524831,2.946,-141.4021,0.0,0.0,3.997,10839.27,2.0952084
1982778092501860386,2.211,-89.68295,0.0,0.0,4.132,9225.714,4.933335
1770547364650549263,2.645,10.53911,0.0,0.0,4.023,10115.795,5.104103
1732158336939327519,3.046,83.17624,0.0,0.0,3.82,10351.422,2.9407516
1733047365104828427,2.008,-38.0327,0.0,0.0,4.196,8810.488,6.564705
1982878096654598184,2.141,-107.353874,0.0,0.0,4.066,8810.488,1.8109472
1982878096654598202,2.995,-93.94848,0.0,0.0,4.152,11857.6875,3.3903112
1982878096923033657,3.634,-128.7871,0.20268323,49.864407,3.935,12445.146,3.1827137
2201597369173147650,2.553,-93.26075,0.0,0.0,4.03,9885.531,4.8571596
1947847368296628236,3.313,46.21609,0.0,0.0,4.007,11885.022,1.7151192
1947847368430845956,3.313,-31.731005,0.0,0.0,4.007,11885.022,6.693255
2213553913745899523,2.427,-46.39873,0.0,0.0,4.184,10115.795,5.4486403
2201947366058098689,2.802,-75.05545,0.0,0.0,4.094,10839.27,3.6664715
1983358338422800420,2.553,-83.48723,0.0,0.0,4.03,9885.531,6.4479313
1948297365039349771,2.516,27.061384,0.0,0.0,4.175,10351.422,1.391169
2141578091724537858,2.107,34.079487,0.0,0.0,4.166,9015.711,3.5611632
2214753914857717761,2.211,-110.49903,0.0,0.0,4.132,9225.714,1.8295865
